"Date","Time","TT","Species.","X.","Comments.Observations"
"28-Oct-03",1030,"bucket","Agkistrodon piscivorus",1,""
"29-Oct-03",1300,"bucket","Agkistrodon piscivorus",1,""
"30-Oct-03",1730,"snake trap","Thamnophis sauritus",1,""
"30-Oct-03",1730,"snake trap","Agkistrodon piscivorus",1,"JUV UNDER TRAP"
"30-Oct-03",1730,"snake trap","Agkistrodon piscivorus",1,""
"31-Oct-03",1735,"snake trap","Coluber constrictor",1,""
"1-Nov-03",1215,"snake trap","Agkistrodon piscivorus",1,""
"2-Nov-03",1545,"snake trap","Agkistrodon piscivorus",1,""
"2-Nov-03",1545,"snake trap","Agkistrodon piscivorus",1,""
"2-Nov-03",1545,"snake trap","Agkistrodon piscivorus",2,""
"3-Nov-03",1020,"snake trap","Agkistrodon piscivorus",1,""
"4-Nov-03",1115,"coffee can","Storeria occipitomaculata",1,""
"4-Nov-03",1115,"snake trap","Agkistrodon piscivorus",1,""
"4-Nov-03",1115,"snake trap","Agkistrodon piscivorus",1,""
"4-Nov-03",1115,"snake trap","Agkistrodon piscivorus",1,"NEONATE"
"4-Nov-03",1115,"snake trap","Agkistrodon piscivorus",3,""
"4-Nov-03",1700,"snake trap","Agkistrodon piscivorus",1,""
"5-Nov-03",945,"snake trap","Nerodia fasciata",1,""
"5-Nov-03",945,"snake trap","Nerodia fasciata",1,""
"5-Nov-03",945,"snake trap","Nerodia fasciata",1,""
"6-Nov-03",1724,"snake trap","Agkistrodon piscivorus",2,"2 IN ONE!"
"7-Nov-03",900,"snake trap","Nerodia fasciata",1,""
"8-Nov-03",1035,"snake trap","Agkistrodon piscivorus",1,""
"11-Nov-03",1655,"bucket","Coluber constrictor",1,""
"11-Nov-03",1655,"snake trap","Coluber constrictor",1,""
"12-Nov-03",946,"snake trap","Thamnophis sauritus",1,""
"12-Nov-03",946,"snake trap","Agkistrodon piscivorus",1,""
"13-Nov-03",940,"snake trap","Agkistrodon piscivorus",1,"YOUNG"
"15-Nov-03",1130,"bucket","Thamnophis sauritus",1,"NEONATE"
"16-Nov-03",1115,"snake trap","Coluber constrictor",1,"NEONATE"
"17-Nov-03",1655,"snake trap","Agkistrodon piscivorus",1,""
"17-Nov-03",1655,"snake trap","Agkistrodon piscivorus",1,""
"19-Nov-03",930,"snake trap","Nerodia fasciata",1,""
"19-Nov-03",930,"snake trap","Nerodia fasciata",1,""
"19-Nov-03",930,"snake trap","Nerodia fasciata",2,""
"21-Nov-03",1513,"snake trap","Pantherophis alleghaniensis",1,""
"21-Nov-03",945,"snake trap","Heterodon platirhinos",1,""
"21-Nov-03",1513,"snake trap","Coluber constrictor",1,""
"22-Nov-03",1100,"snake trap","Coluber constrictor",1,"NEONATE"
"26-Nov-03",855,"snake trap","Coluber constrictor",1,"MRKD"
"28-Nov-03",1615,"snake trap","Nerodia fasciata",1,""
"10-Dec-03",1015,"snake trap","Nerodia fasciata",1,""
"26-Dec-03",1400,"snake trap","Nerodia fasciata",1,""
"26-Dec-03",1400,"snake trap","Thamnophis sauritus",1,""
"31-Dec-03",1115,"snake trap","Thamnophis sauritus",1,""
"3-Jan-04",1200,"snake trap","Nerodia fasciata",1,""
"4-Jan-04",1530,"snake trap","Nerodia fasciata",1,""
"4-Jan-04",1530,"snake trap","Thamnophis sauritus",1,""
"5-Jan-04",1510,"snake trap","Nerodia fasciata",1,""
"6-Jan-04",1030,"snake trap","Nerodia fasciata",1,""
"6-Jan-04",1030,"snake trap","Nerodia fasciata",1,""
